STT,Phân Loại,Tên Group,Group ID,Tin Chưa Đọc,Loại
195,1. Kho Rau Củ (KRC),KRC_A102_Kha Vạn Cân,-4810931245,0,Nhóm chat
196,1. Kho Rau Củ (KRC),KRC - WGA (Westgate An Gia),-5588180836,0,Nhóm chat
197,1. Kho Rau Củ (KRC),KRC - NVQ,-885961261,0,Nhóm chat
198,1. Kho Rau Củ (KRC),KRC -THN,-4834646921,0,Nhóm chat
199,1. Kho Rau Củ (KRC),KRC_OPS (Opal Skyline),-4795250025,0,Nhóm chat
200,1. Kho Rau Củ (KRC),KRC - RS4,-1002992073784,0,Kênh/Supergroup
201,1. Kho Rau Củ (KRC),KRC - TNO,-1001873237756,0,Kênh/Supergroup
202,1. Kho Rau Củ (KRC),KRC - VH5 (S03.05),-4510828184,1,Nhóm chat
203,1. Kho Rau Củ (KRC),KRC - THĐ,-1001620119166,0,Kênh/Supergroup
204,1. Kho Rau Củ (KRC),KRC - NTN,-4865354826,1,Nhóm chat
205,1. Kho Rau Củ (KRC),SCM- KRC Nội bộ,-5129187948,0,Nhóm chat
206,1. Kho Rau Củ (KRC),SCM - KRC (hình ảnh chênh lệch),-5202416092,0,Nhóm chat
207,2. Kho ABA (ABA),ABA Đông/Mát +Thịt Cá - A128 (Cityland Park Hill),-5004400246,39,Nhóm chat
208,2. Kho ABA (ABA),ABA - RVS Phú Mỹ Hưng,-4565998341,75,Nhóm chat
209,2. Kho ABA (ABA),TMY - ABA (31 Tân Mỹ),-637584836,33,Nhóm chat
210,2. Kho ABA (ABA),ABA Đông Mát/Thịt Cá - A151 (20 Lê Đức Thọ),-5226952638,49,Nhóm chat
211,2. Kho ABA (ABA),ABA Đông Mát - A109 (Trần Trọng Cung),-1002882274038,23,Kênh/Supergroup
212,2. Kho ABA (ABA),ABA - A202 (DS10 Bình Hưng),-5233500171,21,Nhóm chat
213,2. Kho ABA (ABA),NTT - ABA MĐ,-640887076,40,Nhóm chat
